z   alpha   A   p   time   mass    %d2p
45   0.001  30   10  1.89  205.11
46   0.001  30   20  1.89  136.19
47   0.001  30   30  1.89   81.07
48   0.001  30   60  0.20    0.00
49   0.001  30   90  0.12    0.00
50  0.0001  30   10  1.89  267.95
51  0.0001  30   20  1.08  218.88
52  0.0001  30   30  1.89  187.68
53  0.0001  30   60  0.20    8.50
54  0.0001  30   90  0.62   44.87
55       0   0    0  1.08    0.00
56       0   0    0  1.08    0.00
57   0.001   3   50  0.20    0.00
59   0.001  30   50  1.89   85.33
60   0.001  30  100  3.29   34.99
61  0.0001   3   50  1.08   11.28
62  0.0001   3  100  0.36    0.00
65       0   0    0  0.00    0.00
66       0   0    0  0.00    0.00
67       0   0    0  0.00    0.00
